source,author,title,description,content,url,image_url,published_at
Abcnews.com,NICOLE WINFIELD Associated Press,Pope Leo XIV in France to find secular country at odds with Catholic teaching on life,Pope Leo XIV opens a four-day visit to France this weekend that is expected to touch on church teaching about the value of all human life,"VATICAN CITY -- When an ailing Pope John Paul II visited the French shrine at Lourdes in 2004, on his last foreign trip, he delivered a forceful condemnation of abortion and euthanasia as he gasped f… [+7400 chars]",https://abcnews.com/International/wireStory/pope-leo-xiv-france-find-secular-country-odds-136611345,https://i.abcnewsfe.com/a/136e720c-3fe7-4af4-9e34-1ce4c340884f/wirestory_4c576325086fb3d21debe0f8df521606_16x9.jpg?w=1600,2026-09-21T06:42:14Z
Hurriyet Daily News,hurriyetdailynews.com,Putin’s party set to retain two-thirds Duma majority,"Russia’s ruling United Russia party was on course to retain its two-thirds parliamentary majority, according to preliminary results and projections reported on Sept. 21, after voting marked by Ukrainian drone strikes and reported cyberattacks.","MOSCOW
Russias ruling United Russia party was on course to retain its two-thirds parliamentary majority, according to preliminary results and projections reported on Sept. 21, after voting marked by… [+2174 chars]",https://www.hurriyetdailynews.com/putins-party-set-to-retain-two-thirds-duma-majority-227116,https://image.hurimg.com/i/hurriyet/75/200x200/6ab0d0d3242e1cf6f86a4251.jpg,2026-09-21T06:38:18Z
Onefootball.com,Confederação Brasileira de Futebol,Ponte Preta end 22-game winless run in Série B,"Ponte Preta beat CRB 1-0 and ended a 22-match winless streak in Série BCredits: Ponte Preta Flickr/DisclosurePonte Preta picked up its first Série B win in 22 matches this Sunday (21). This morning,...","Ponte Preta beat CRB 1-0 and ended a 22-match winless streak in Série BCredits: Ponte Preta Flickr/Disclosure
Ponte Preta picked up its first Série B win in 22 matches this Sunday (21). This morning… [+1337 chars]",https://onefootball.com/en/news/ponte-preta-end-22-game-winless-run-in-serie-b-43497079,https://s.yimg.com/lo/mysterio/api/04c2c5b425fc06c5b2d63e61a6fa697c818f1579f42e9818d6b8f3fd45c894e8/lightyear_networkapi/resizefill_w1200%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fcbf_articles_956%2F0286688251bf716ba651a9a88f061746.jpg,2026-09-21T06:38:00Z
Onefootball.com,OneFootball,️ The derby row explodes on Monday's front pages,"Atlético de Madrid's victory over Real Madrid (2-1) dominates the sports front pages this Monday. A heated derby, marked by José Mourinho's harsh criticism of the refereeing establishment, shares th...","Atlético de Madrid's victory over Real Madrid (2-1) dominates the sports front pages this Monday. A heated derby, marked by José Mourinho's harsh criticism of the refereeing establishment, shares the… [+1315 chars]",https://onefootball.com/en/news/the-derby-row-explodes-on-mondays-front-pages-43497022,https://s.yimg.com/lo/mysterio/api/e4210e04c41fcfe1e1f1a6bb5fda93d994c6fd0fc052cf29e6dd8ef5223e536d/lightyear_networkapi/resizefill_w1200%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fonefootball_articles_802%2F1d79572de524e2e6509abeeffbd57ce8.jpg,2026-09-21T06:27:00Z
Frontiersin.org,Jiannan Yang,"Frontiers | Effects of AI-assisted wushu training on mental health, cognitive performance, and cardiovascular function in university students: a quasi-experimental study","Frontiers | Effects of AI-assisted wushu training on mental health, cognitive performance, and cardiovascular function in university students: a quasi-experimental studyfrontiersin.org","Abstract
Background: 
In this quasi-experimental study, we examined whether AI-assisted wushu (Chinese martial arts) routine training, delivered through camera-based immediate post-performance move… [+67923 chars]",https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2026.1932711/full,https://d2csxpduxe849s.cloudfront.net/media/E32629C6-9347-4F84-81FEAEF7BFA342B3/7CCE4235-8BF4-4D52-8022020C57AC98C1/D992F897-6BC2-466D-90902EADFBEAB887/WebsiteWebP_XL-FPUBH_Main Visual_Cyan_Website.webp,2026-09-21T06:23:13Z
Bloomberg,Bloomberg,"New data centres worth $68 billion disrupted in US, data show","Communities across the country are now pushing through moratoriums on new construction, often before developers can apply for permissions","Opposition to data centres continues to mount in the US.
Thats according to research group Data Centre Watch, which said some 45 data centre projects worth $68 billion were blocked or delayed by loc… [+2933 chars]",https://www.bloomberg.com/news/articles/2026-09-21/new-data-centers-worth-68-billion-disrupted-in-us-data-show,https://bl-i.thgim.com/public/incoming/yn57tz/article71418461.ece/alternates/LANDSCAPE_1200/data%20centres%201.jpg,2026-09-21T06:22:45Z
Abcnews.com,MATT SEDENSKY AP national writer,Bessent: US proposes AI incident alert system in talks with China,The U.S. is proposing a new notification system with China for artificial intelligence incidents that could threaten national security,"NEW YORK -- Treasury Secretary Scott Bessent said Sunday the U.S. has proposed a new notification mechanism for artificial intelligence incidents that could affect national security, part of weekend … [+1786 chars]",https://abcnews.com/Technology/wireStory/bessent-us-proposes-ai-incident-alert-system-talks-136609079,https://i.abcnewsfe.com/a/64260004-4208-4544-a2ad-6c469973a8d8/wirestory_2c7f54f07e755f506d9db9b91df282bd_16x9.jpg?w=1600,2026-09-21T06:21:54Z
Economictimes.com,TIL Creatives,Global Markets: 5 key things to watch out for this week,"World markets are heading into another eventful week, with the US-China summit, rising Treasury yields, the UN General Assembly, the debate over AI risks and Indonesia's central bank decision likely to shape investor sentiment. (Source: Reuters) ​Global marke…","Sep 21, 2026, 12:00:38 PM IST
World markets are heading into another eventful week, with the US-China summit, rising Treasury yields, the UN General Assembly, the debate over AI risks and Indonesia'… [+3354 chars]",https://m.economictimes.com/markets/us-stocks/news/global-markets-5-key-things-to-watch-out-for-this-week/global-markets-face-another-high-stakes-week/slideshow/134382188.cms,"https://img.etimg.com/thumb/msid-134382188,width-1200,height-900,overlay-etmarkets/slideshow.jpg",2026-09-21T06:20:45Z
Business Standard,Capital Market,"Nifty above 23,350; FMCG shares advance","At 11:30 IST, the barometer index, the S&P BSE Sensex, jumped 443.60 points or 0.60% to 74,738.56. The Nifty 50 index rose 46.20 points or 0.20% to 23,394.00.","The key equity benchmarks continued to trade with modest gains in mid-morning trade, aided by cooling crude oil prices, fresh foreign fund inflows and positive global cues. The Nifty traded above the… [+4771 chars]",https://www.business-standard.com/markets/capital-market-news/nifty-above-23-350-fmcg-shares-advance-126092100304_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2026-09-21T06:20:01Z
Hurriyet Daily News,hurriyetdailynews.com,Trump welcomes Xi this week amid persistent tensions,"When President Donald Trump first ran for office, he called out China as a menace to the U.S. economy, saying it had gutted America’s factories and eroded the middle class.","WASHINGTON
This file photo shows China's President Xi Jinping (R) and U.S. President Donald Trump visit the Temple of Heaven in Beijing, May 14, 2026. (AP File Photo)
When President Donald Trump fi… [+4103 chars]",https://www.hurriyetdailynews.com/trump-welcomes-xi-this-week-amid-persistent-tensions-227114,https://image.hurimg.com/i/hurriyet/75/200x200/6ab0cb0129066eaba7b376a9.jpg,2026-09-21T06:15:13Z
